jd,wd,type
104.12933,30.68322,50
104.04345,30.70323,0
104.06976,30.65363,37
104.04346,30.69309,29
104.10848,30.72653,12
104.10272,30.66889,16
104.11267,30.66715,33
104.11479,30.65494,1
104.08133,30.65677,17
104.06974,30.6536,37
104.05277,30.65337,56
104.05152,30.66425,10
104.10388,30.66924,16
104.10626,30.65473,27
104.04303,30.70364,0
104.09742,30.67441,15
104.0698,30.6538,37
104.04289,30.70022,53
104.06701,30.71192,13
104.04295,30.70396,0
104.11901,30.65499,59
104.09873,30.65439,23
104.07746,30.65861,62
104.07541,30.65373,31
104.12902,30.7138,14
104.04273,30.67855,57
104.04282,30.69285,29
104.09881,30.65452,23
104.11246,30.71528,80
104.05641,30.66297,51
104.04309,30.70358,0
104.0879,30.6541,42
104.07533,30.72717,19
104.0618,30.65348,40
104.11479,30.65481,1
104.0952,30.66152,35
104.10227,30.66876,16
104.04343,30.72301,6
104.09871,30.65436,23
104.12017,30.66812,54
104.06057,30.65876,11
104.09745,30.67435,15
104.11479,30.65561,1
104.06064,30.65844,11
104.04358,30.69331,29
104.12944,30.65905,26
104.07361,30.68571,70
104.04318,30.71599,36
104.12896,30.72164,52
104.04317,30.7037,0
104.04758,30.72763,21
104.07551,30.68515,72
104.07697,30.65858,62
104.11419,30.71112,76
104.04294,30.70349,0
104.11479,30.65484,1
104.09874,30.6544,23
104.09774,30.67376,15
104.04297,30.7035,0
104.04255,30.67825,57
104.12938,30.68327,50
104.09872,30.65437,23
104.06059,30.65769,11
104.07533,30.72719,19
104.05261,30.65316,56
104.04328,30.7229,6
104.10845,30.72644,12
104.07542,30.65373,31
104.07477,30.65403,31
104.07213,30.6538,30
104.12903,30.71535,34
104.04303,30.65513,4
104.12886,30.7154,34
104.07972,30.6576,39
104.04276,30.69272,29
104.04298,30.70027,53
104.06021,30.65332,24
104.08616,30.65449,18
104.08626,30.66074,68
104.11479,30.65488,1
104.06613,30.65399,22
104.04255,30.67541,5
104.04264,30.67536,5
104.05259,30.65313,56
104.11195,30.66686,33
104.11479,30.6548,1
104.04275,30.6845,3
104.06978,30.65377,37
104.08149,30.65664,17
104.09875,30.65441,23
104.05165,30.66505,10
104.0476,30.7276,21
104.05258,30.65312,56
104.05268,30.65326,56
104.09716,30.71009,77
104.12883,30.71541,34
104.12944,30.66868,43
104.04251,30.66529,9
104.07539,30.65374,31
104.12828,30.7064,28
104.08136,30.65681,17
104.0548,30.69432,81
104.0617,30.65345,40
104.0754,30.65374,31
104.04761,30.72758,21
104.10657,30.65459,27
104.04258,30.67539,5
104.04271,30.6861,44
104.04833,30.67829,69
104.06702,30.71195,13
104.04353,30.72309,6
104.07371,30.6947,55
104.0973,30.65442,48
104.08807,30.65435,42
104.04325,30.69298,29
104.06592,30.65363,22
104.06984,30.65373,37
104.12936,30.68325,50
104.06066,30.6577,11
104.12902,30.71379,14
104.0436,30.72314,6
104.11479,30.65505,1
104.04498,30.7015,41
104.04761,30.72758,21
104.11146,30.66679,33
104.04315,30.69308,29
104.07207,30.65364,30
104.11479,30.65539,1
104.09714,30.71004,77
104.12857,30.71547,34
104.05153,30.66432,10
104.12932,30.68321,50
104.06034,30.65354,24
104.08228,30.65397,67
104.06063,30.6587,11
104.12945,30.65905,26
104.07533,30.72731,19
104.07533,30.72732,19
104.07384,30.65446,2
104.04297,30.70394,0
104.08227,30.65396,67
104.11485,30.65517,1
104.06593,30.65358,22
104.04297,30.70394,0
104.04265,30.67842,57
104.09908,30.65496,23
104.10855,30.72671,12
104.06989,30.65392,37
104.05423,30.66078,47
104.09512,30.66161,35
104.12892,30.70661,28
104.09739,30.67445,15
104.04233,30.65851,32
104.04779,30.72698,21
104.1266,30.65516,38
104.07207,30.65371,30
104.09755,30.67393,15
104.067,30.71185,13
104.05268,30.65325,56
104.0475,30.72765,21
104.07537,30.65375,31
104.11251,30.6671,33
104.12881,30.66837,43
104.04295,30.70397,0
104.04315,30.71596,36
104.08683,30.65417,18
104.0425,30.67543,5
104.04328,30.7229,6
104.04255,30.67826,57
104.0813,30.65673,17
104.04225,30.65852,32
104.04329,30.71612,36
104.08023,30.65523,17
104.07532,30.72712,19
104.12945,30.65905,26
104.10636,30.65468,27
104.07203,30.65367,30
104.07535,30.65376,31
104.12891,30.71521,34
104.07138,30.65403,30
104.12933,30.659,26
104.05651,30.66281,51
104.04235,30.65851,32
104.12947,30.6687,43
104.04282,30.69268,29
104.1065,30.65462,27
104.04236,30.65851,32
104.0942,30.66016,74
104.04269,30.68611,44
104.09874,30.6544,23
104.04327,30.72313,6
104.07532,30.72706,19
104.04348,30.66458,9
104.04257,30.66514,9
104.05151,30.66421,10
104.0476,30.72759,21
104.05712,30.67302,25
104.12915,30.66854,43
104.07225,30.65521,2
104.04304,30.6929,29
104.04291,30.69296,29
104.09883,30.65456,23
104.09746,30.65434,48
104.11479,30.65485,1
104.10856,30.72673,12
104.11479,30.65505,1
104.04264,30.6784,57
104.07708,30.65874,62
104.05267,30.65323,56
104.12902,30.71519,34
104.0506,30.65308,64
104.08637,30.66093,68
104.07037,30.65447,37
104.09746,30.65435,48
104.06063,30.65932,11
104.04786,30.72716,21
104.12929,30.68318,50
104.0975,30.65433,48
104.10342,30.66958,16
104.04339,30.72298,6
104.04272,30.67854,57
104.05161,30.66476,10
104.09625,30.66235,35
104.08789,30.65408,42
104.04416,30.69366,29
104.08228,30.65397,67
104.11484,30.65501,1
104.04295,30.70349,0
104.05138,30.70197,46
104.06057,30.65831,11
104.04485,30.70143,41
104.04342,30.72301,6
104.06974,30.6536,37
104.11887,30.65492,59
104.07855,30.65813,45
104.06023,30.65336,24
104.1293,30.65899,26
104.11254,30.66711,33
104.0698,30.65368,37
104.09742,30.65436,48
104.04253,30.67822,57
104.0522,30.68481,79
104.08077,30.65595,17
104.04279,30.67529,5
104.04228,30.65852,32
104.12931,30.65899,26
104.04311,30.70377,0
104.04761,30.72757,21
104.12945,30.66869,43
104.09879,30.65449,23
104.04325,30.68085,49
104.04298,30.70351,0
104.0732,30.69471,55
104.04276,30.68448,3
104.06982,30.65383,37
104.08153,30.65709,17
104.043,30.70352,0
104.04756,30.72767,21
104.11485,30.65524,1
104.11479,30.65488,1
104.12916,30.70669,28
104.04762,30.72756,21
104.04282,30.69285,29
104.09872,30.65436,23
104.07339,30.68628,70
104.06593,30.65348,22
104.05622,30.66301,51
